Subsidy,OBJECTIVE
60000,1.10E+09
20000,1.08E+09
40000,1.08E+09
0,1.10E+09
120000,1.17E+09
100000,1.14E+09
80000,1.12E+09
140000,1.19E+09
160000,1.22E+09
180000,1.24E+09
200000,1.27E+09
220000,1.29E+09
240000,1.32E+09
280000,1.38E+09
260000,1.35E+09
300000,1.41E+09
320000,1.45E+09
340000,1.48E+09
360000,1.52E+09
380000,1.56E+09
400000,1.60E+09
420000,1.64E+09
440000,1.69E+09
460000,1.74E+09
480000,1.79E+09
500000,1.84E+09
540000,1.96E+09
520000,1.90E+09
560000,2.03E+09
580000,2.10E+09
600000,2.18E+09
620000,2.26E+09
640000,2.38E+09
660000,2.50E+09
700000,2.80E+09
680000,2.66E+09
720000,2.95E+09
740000,3.10E+09
780000,3.47E+09
760000,3.27E+09
800000,3.69E+09
820000,3.86E+09
840000,4.07E+09
860000,4.27E+09
880000,4.46E+09
900000,4.65E+09
920000,4.85E+09
940000,5.06E+09
960000,5.24E+09
1000000,5.62E+09
980000,5.43E+09
