Subsidy,OBJECTIVE
40000,2.14E+07
20000,1.78E+07
60000,2.51E+07
0,1.56E+07
120000,3.72E+07
80000,2.92E+07
100000,3.30E+07
140000,4.18E+07
200000,5.43E+07
160000,4.58E+07
180000,4.98E+07
220000,5.88E+07
260000,6.83E+07
240000,6.35E+07
280000,7.33E+07
300000,7.81E+07
320000,8.32E+07
340000,8.84E+07
360000,9.38E+07
380000,9.90E+07
400000,1.04E+08
420000,1.09E+08
440000,1.15E+08
460000,1.20E+08
480000,1.25E+08
500000,1.31E+08
520000,1.37E+08
540000,1.43E+08
560000,149520000
580000,157760000
600000,168000000
620000,187240000
640000,233600000
660000,287100000
680000,395080000
700000,434000000
720000,446400000
740000,458800000
760000,471200000
780000,483600000
800000,496000000
820000,508400000
840000,520800000
860000,533200000
880000,545600000
900000,558000000
920000,570400000
940000,582800000
960000,595200000
980000,607600000
1000000,620000000
