Subsidy,OBJECTIVE
40000,1.48E+08
20000,9.18E+07
60000,2.05E+08
0,3.53E+07
120000,3.76E+08
80000,2.62E+08
100000,3.19E+08
140000,4.34E+08
160000,4.92E+08
200000,6.08E+08
180000,5.51E+08
220000,6.65E+08
240000,7.23E+08
260000,7.82E+08
280000,8.40E+08
300000,8.99E+08
320000,9.57E+08
360000,1.08E+09
340000,1.02E+09
380000,1.13E+09
400000,1.19E+09
420000,1.25E+09
440000,1.31E+09
460000,1.37E+09
480000,1.43E+09
500000,1.49E+09
520000,1.55E+09
540000,1.61E+09
560000,1.67E+09
580000,1.73E+09
600000,1.79E+09
620000,1.85E+09
640000,1.91E+09
660000,1.97E+09
680000,2.03E+09
700000,2.09E+09
720000,2.15E+09
740000,2.21E+09
760000,2.27E+09
780000,2.34E+09
800000,2.40E+09
820000,2482120000
860000,2717600000
840000,2.60E+09
880000,2909280000
920000,3245760000
900000,3068100000
940000,3421600000
960000,3627840000
980000,3866100000
1000000,4149000000
