Subsidy,OBJECTIVE
0,1.52E+09
20000,1.49E+09
40000,1.48E+09
60000,1.49E+09
80000,1.51E+09
100000,1.53E+09
120000,1.54E+09
140000,1.56E+09
160000,1.58E+09
180000,1.60E+09
200000,1.61E+09
220000,1.63E+09
240000,1.65E+09
260000,1.67E+09
280000,1.69E+09
300000,1.71E+09
320000,1.73E+09
340000,1.76E+09
360000,1.78E+09
380000,1.81E+09
400000,1.84E+09
420000,1.87E+09
440000,1.90E+09
460000,1.93E+09
480000,1.96E+09
500000,2.00E+09
520000,2.04E+09
540000,2.07E+09
560000,2.12E+09
580000,2.16E+09
600000,2.21E+09
620000,2.26E+09
640000,2.31E+09
660000,2.36E+09
680000,2.42E+09
700000,2.48E+09
720000,2.55E+09
740000,2.61E+09
760000,2.69E+09
780000,2.77E+09
800000,2.86E+09
820000,2.95E+09
840000,3.09E+09
860000,3.23E+09
880000,3.41E+09
900000,3.57E+09
920000,3.75E+09
940000,3.92E+09
960000,4.12E+09
980000,4.35E+09
1000000,4.60E+09
