Subsidy,OBJECTIVE
0,1.56E+07
20000,1.47E+07
40000,1.73E+07
60000,2.17E+07
80000,2.72E+07
100000,3.36E+07
120000,4.10E+07
140000,4.85E+07
160000,5.50E+07
180000,6.61E+07
200000,7.64E+07
220000,8.82E+07
240000,9.93E+07
260000,1.12E+08
280000,1.27E+08
300000,1.38E+08
320000,1.48E+08
340000,1.58E+08
360000,1.70E+08
380000,1.80E+08
400000,1.90E+08
420000,1.99E+08
440000,2.09E+08
460000,2.18E+08
480000,2.28E+08
500000,2.38E+08
520000,2.48E+08
540000,2.59E+08
560000,2.70E+08
580000,2.82E+08
600000,2.97E+08
620000,3.21E+08
640000,3.71E+08
660000,429000000
680000,541280000
700000,629300000
720000,732960000
740000,836200000
760000,964440000
780000,1119300000
800000,1311200000
820000,1438280000
840000,1605240000
860000,1771600000
880000,1947440000
900000,2111400000
920000,2288040000
940000,2476900000
960000,2663040000
980000,2838080000
1000000,2996000000
