Subsidy,OBJECTIVE
0,8.00E+07
20000,7.82E+07
40000,8.01E+07
60000,8.50E+07
80000,9.48E+07
100000,1.06E+08
120000,1.21E+08
140000,1.39E+08
160000,1.61E+08
180000,1.85E+08
200000,2.13E+08
220000,2.38E+08
240000,2.65E+08
260000,2.92E+08
280000,3.20E+08
300000,3.51E+08
320000,3.83E+08
340000,4.13E+08
360000,4.53E+08
380000,4.93E+08
400000,5.30E+08
420000,5.70E+08
440000,6.04E+08
460000,6.33E+08
480000,6.60E+08
500000,6.85E+08
520000,7.11E+08
540000,7.37E+08
560000,7.63E+08
580000,7.90E+08
600000,8.16E+08
620000,8.43E+08
640000,8.69E+08
660000,8.96E+08
680000,9.23E+08
700000,9.50E+08
720000,9.77E+08
740000,1.00E+09
760000,1.03E+09
780000,1.06E+09
800000,1.09E+09
820000,1.11E+09
840000,1.14E+09
860000,1.17E+09
880000,1.20E+09
900000,1.23E+09
920000,1.25E+09
940000,1.28E+09
960000,1.31E+09
980000,1.34E+09
1000000,1.36E+09
