Year,Objective
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1.84E+08
8,9.65E+08
9,2.16E+09
10,3.84E+09
11,4.51E+09
12,4.52E+09
13,4.57E+09
14,4.63E+09
15,4.96E+09
16,4.96E+09
17,4.96E+09
18,4.96E+09
19,4.96E+09
20,4.96E+09
21,4.96E+09
22,4.96E+09
23,4.96E+09
24,4.96E+09
25,4.96E+09
26,4.96E+09
27,4.96E+09
28,4.96E+09
29,4.96E+09
30,4.96E+09
31,4.96E+09
32,4.96E+09
33,4.96E+09
34,4.96E+09
35,4.96E+09
36,4.96E+09
37,4.96E+09
38,4.96E+09
39,4.96E+09
40,4.96E+09
41,4.96E+09
42,4.96E+09
43,4.96E+09
44,4.96E+09
45,4.96E+09
46,4.96E+09
47,4.96E+09
48,4.96E+09
49,4.96E+09
50,4.96E+09
51,4.96E+09
52,4.96E+09
53,4.96E+09
54,4.96E+09
55,4.96E+09
56,4.96E+09
57,4.96E+09
58,4.96E+09
59,4.96E+09
60,4.96E+09
61,4.96E+09
62,4.96E+09
63,4.96E+09
64,4.96E+09
65,4.96E+09
66,4.96E+09
67,4.96E+09
68,4.96E+09
69,4.96E+09
70,4.96E+09
71,4.96E+09
72,4.96E+09
73,4.96E+09
74,4.96E+09
75,4.96E+09
76,4.96E+09
77,4.96E+09
78,4.96E+09
79,4.96E+09
80,4.96E+09
81,4.96E+09
