Subsidy_percentage,OBJECTIVE
0,1.26E+07
0.01,1.25E+07
0.02,1.28E+07
0.03,1.32E+07
0.04,1.41E+07
0.05,1.54E+07
0.06,1.63E+07
0.07,1.80E+07
0.08,2.06E+07
0.09,2.36E+07
0.1,2.61E+07
0.11,2.87E+07
0.12,3.18E+07
0.13,3.47E+07
0.14,3.80E+07
0.15,4.19E+07
0.16,4.54E+07
0.17,5.45E+07
0.18,8.37E+07
0.19,1.60E+08
0.2,3.95E+08
0.21,8.05E+08
0.22,1.15E+09
0.23,1.43E+09
0.24,1.60E+09
0.25,1.71E+09
0.26,1.80E+09
0.27,1.85E+09
0.28,1.86E+09
0.29,1.87E+09
0.3,1.88E+09
0.31,1.88E+09
0.32,1.89E+09
0.33,1.90E+09
0.34,1.90E+09
0.35,1.91E+09
0.36,1.92E+09
0.37,1.92E+09
0.38,1.93E+09
0.39,1.93E+09
0.4,1.94E+09
0.41,1.94E+09
0.42,1.95E+09
0.43,1.95E+09
0.44,1.96E+09
0.45,1.97E+09
0.46,1.97E+09
0.47,1.98E+09
0.48,1.98E+09
0.49,1.99E+09
0.5,1.99E+09
0.51,2.00E+09
0.52,2.00E+09
0.53,2.01E+09
0.54,2.01E+09
0.55,2.02E+09
0.56,2.02E+09
0.57,2.03E+09
0.58,2.03E+09
0.59,2.04E+09
0.6,2.04E+09
0.61,2.05E+09
0.62,2.05E+09
0.63,2.05E+09
0.64,2.06E+09
0.65,2.06E+09
0.66,2.07E+09
0.67,2.07E+09
0.68,2.08E+09
0.69,2.08E+09
0.7,2.09E+09
0.71,2.09E+09
0.72,2.09E+09
0.73,2.10E+09
0.74,2.10E+09
0.75,2.11E+09
0.76,2.11E+09
0.77,2.11E+09
0.78,2.12E+09
0.79,2.12E+09
0.8,2.13E+09
0.81,2.13E+09
0.82,2.14E+09
0.83,2.14E+09
0.84,2.14E+09
0.85,2.15E+09
0.86,2.15E+09
0.87,2.16E+09
0.88,2.16E+09
0.89,2.17E+09
0.9,2.17E+09
0.91,2.17E+09
0.92,2.18E+09
0.93,2.18E+09
0.94,2.19E+09
0.95,2.19E+09
0.96,2.20E+09
0.97,2.20E+09
0.98,2.20E+09
0.99,2.21E+09
1,2.21E+09
