Subsidy_percentage,OBJECTIVE
0,1.11E+08
0.01,1.10E+08
0.02,1.09E+08
0.03,1.08E+08
0.04,1.07E+08
0.05,1.08E+08
0.06,1.08E+08
0.07,1.08E+08
0.08,1.09E+08
0.09,1.10E+08
0.1,1.11E+08
0.11,1.12E+08
0.12,1.14E+08
0.13,1.17E+08
0.14,1.19E+08
0.15,1.22E+08
0.16,1.24E+08
0.17,1.28E+08
0.18,1.31E+08
0.19,1.35E+08
0.2,1.38E+08
0.21,1.41E+08
0.22,1.45E+08
0.23,1.48E+08
0.24,1.57E+08
0.25,1.64E+08
0.26,1.78E+08
0.27,2.05E+08
0.28,2.23E+08
0.29,2.64E+08
0.3,2.91E+08
0.31,3.52E+08
0.32,4.18E+08
0.33,5.29E+08
0.34,6.64E+08
0.35,9.09E+08
0.36,1.15E+09
0.37,1.38E+09
0.38,1.56E+09
0.39,1.79E+09
0.4,1.97E+09
0.41,2.14E+09
0.42,2.30E+09
0.43,2.49E+09
0.44,2.66E+09
0.45,2.78E+09
0.46,2.88E+09
0.47,2.98E+09
0.48,3.07E+09
0.49,3.14E+09
0.5,3.19E+09
0.51,3.26E+09
0.52,3.37E+09
0.53,3.40E+09
0.54,3.46E+09
0.55,3.49E+09
0.56,3.55E+09
0.57,3.57E+09
0.58,3.59E+09
0.59,3.60E+09
0.6,3.61E+09
0.61,3.61E+09
0.62,3.62E+09
0.63,3.64E+09
0.64,3.64E+09
0.65,3.65E+09
0.66,3.66E+09
0.67,3.66E+09
0.68,3.67E+09
0.69,3.68E+09
0.7,3.69E+09
0.71,3.69E+09
0.72,3.70E+09
0.73,3.71E+09
0.74,3.72E+09
0.75,3.72E+09
0.76,3.73E+09
0.77,3.74E+09
0.78,3.74E+09
0.79,3.75E+09
0.8,3.75E+09
0.81,3.76E+09
0.82,3.77E+09
0.83,3.77E+09
0.84,3.78E+09
0.85,3.79E+09
0.86,3.79E+09
0.87,3.80E+09
0.88,3.81E+09
0.89,3.81E+09
0.9,3.82E+09
0.91,3.83E+09
0.92,3.83E+09
0.93,3.84E+09
0.94,3.84E+09
0.95,3.85E+09
0.96,3.86E+09
0.97,3.86E+09
0.98,3.87E+09
0.99,3.87E+09
1,3.88E+09
