Subsidy,OBJECTIVE
0,1.56E+07
1000,1.56E+07
2000,1.56E+07
3000,1.56E+07
4000,1.53E+07
5000,1.50E+07
6000,1.50E+07
7000,1.50E+07
8000,1.48E+07
9000,1.47E+07
10000,1.47E+07
11000,1.47E+07
12000,1.47E+07
13000,1.48E+07
14000,1.46E+07
15000,1.45E+07
16000,1.46E+07
17000,1.46E+07
18000,1.45E+07
19000,1.46E+07
20000,1.47E+07
21000,1.48E+07
22000,1.49E+07
23000,1.50E+07
24000,1.51E+07
25000,1.52E+07
26000,1.53E+07
27000,1.54E+07
28000,1.55E+07
29000,1.56E+07
30000,1.57E+07
31000,1.58E+07
32000,1.59E+07
33000,1.60E+07
34000,1.62E+07
35000,1.64E+07
36000,1.65E+07
37000,1.67E+07
38000,1.69E+07
39000,1.70E+07
40000,1.73E+07
41000,1.75E+07
42000,1.76E+07
43000,1.78E+07
44000,1.81E+07
45000,1.84E+07
46000,1.86E+07
47000,1.88E+07
48000,1.90E+07
49000,1.92E+07
50000,1.94E+07
