Subsidy,OBJECTIVE
3000,3.51E+07
1000,3.53E+07
2000,3.53E+07
0,3.53E+07
4000,3.49E+07
5000,3.48E+07
6000,3.46E+07
7000,3.46E+07
8000,3.47E+07
9000,3.46E+07
10000,3.44E+07
11000,3.43E+07
12000,3.44E+07
13000,3.43E+07
14000,3.43E+07
15000,3.43E+07
16000,3.44E+07
17000,3.44E+07
18000,3.44E+07
19000,3.44E+07
20000,3.45E+07
21000,3.44E+07
22000,3.44E+07
23000,3.45E+07
24000,3.46E+07
25000,3.47E+07
26000,3.46E+07
27000,3.47E+07
28000,3.47E+07
30000,3.48E+07
29000,3.48E+07
31000,3.50E+07
32000,3.51E+07
33000,3.52E+07
34000,3.52E+07
35000,3.53E+07
36000,3.56E+07
39000,3.61E+07
38000,3.59E+07
37000,3.57E+07
40000,3.64E+07
41000,3.67E+07
42000,3.70E+07
43000,3.72E+07
44000,3.75E+07
45000,3.78E+07
47000,3.83E+07
46000,3.80E+07
48000,3.85E+07
49000,3.88E+07
50000,3.90E+07
