Subsidy,OBJECTIVE
0,2.18E+09
1000,2.18E+09
2000,2.18E+09
3000,2.18E+09
4000,2.18E+09
5000,2.17E+09
6000,2.17E+09
7000,2.17E+09
8000,2.17E+09
9000,2.17E+09
10000,2.16E+09
11000,2.16E+09
12000,2.16E+09
13000,2.16E+09
14000,2.16E+09
15000,2.16E+09
16000,2.15E+09
17000,2.15E+09
18000,2.15E+09
19000,2.15E+09
20000,2.15E+09
21000,2.15E+09
22000,2.15E+09
23000,2.14E+09
24000,2.14E+09
25000,2.14E+09
26000,2.14E+09
27000,2.14E+09
28000,2.14E+09
29000,2.14E+09
30000,2.14E+09
31000,2.14E+09
32000,2.14E+09
33000,2.14E+09
34000,2.14E+09
35000,2.13E+09
36000,2.13E+09
37000,2.13E+09
38000,2.13E+09
39000,2.13E+09
40000,2.13E+09
41000,2.13E+09
42000,2.13E+09
43000,2.13E+09
44000,2.13E+09
45000,2.13E+09
46000,2.13E+09
47000,2.13E+09
48000,2.13E+09
49000,2.13E+09
50000,2.13E+09
