Subsidy,OBJECTIVE
60000,1.40E+09
40000,1.44E+09
20000,1.48E+09
0,1.52E+09
80000,1.36E+09
140000,1.24E+09
120000,1.28E+09
100000,1.32E+09
160000,1.21E+09
180000,1.17E+09
220000,1.10E+09
200000,1.13E+09
240000,1.06E+09
260000,1.02E+09
280000,9.87E+08
300000,9.53E+08
320000,9.17E+08
360000,8.49E+08
340000,8.82E+08
380000,8.17E+08
400000,7.84E+08
420000,7.53E+08
440000,7.23E+08
460000,6.90E+08
480000,6.61E+08
500000,6.34E+08
520000,6.07E+08
540000,5.80E+08
560000,5.55E+08
580000,5.30E+08
600000,5.09E+08
620000,4.88E+08
640000,4.67E+08
660000,4.50E+08
680000,4.35E+08
700000,4.21E+08
720000,4.08E+08
740000,3.98E+08
760000,3.95E+08
780000,3.92E+08
800000,3.97E+08
820000,4.11E+08
860000,5.14E+08
840000,4.60E+08
880000,6.12E+08
900000,6.44E+08
920000,6.49E+08
940000,6.53E+08
960000,6.59E+08
980000,6.65E+08
1000000,6.73E+08
