Subsidy_percentage,OBJECTIVE
0,1.08E+08
0.01,1.06E+08
0.02,1.06E+08
0.03,1.06E+08
0.04,1.05E+08
0.05,1.05E+08
0.06,1.06E+08
0.07,1.06E+08
0.08,1.07E+08
0.09,1.08E+08
0.1,1.09E+08
0.11,1.11E+08
0.12,1.13E+08
0.13,1.15E+08
0.14,1.17E+08
0.15,1.19E+08
0.16,1.22E+08
0.17,1.25E+08
0.18,1.29E+08
0.19,1.32E+08
0.2,1.36E+08
0.21,1.39E+08
0.22,1.47E+08
0.23,1.53E+08
0.24,1.78E+08
0.25,1.96E+08
0.26,2.39E+08
0.27,2.72E+08
0.28,3.49E+08
0.29,4.56E+08
0.3,6.00E+08
0.31,8.61E+08
0.32,1.09E+09
0.33,1.33E+09
0.34,1.56E+09
0.35,1.76E+09
0.36,1.93E+09
0.37,2.14E+09
0.38,2.32E+09
0.39,2.46E+09
0.4,2.55E+09
0.41,2.66E+09
0.42,2.73E+09
0.43,2.80E+09
0.44,2.87E+09
0.45,2.94E+09
0.46,3.00E+09
0.47,3.05E+09
0.48,3.07E+09
0.49,3.10E+09
0.5,3.11E+09
0.51,3.12E+09
0.52,3.13E+09
0.53,3.14E+09
0.54,3.15E+09
0.55,3.16E+09
0.56,3.16E+09
0.57,3.17E+09
0.58,3.18E+09
0.59,3.18E+09
0.6,3.19E+09
0.61,3.20E+09
0.62,3.20E+09
0.63,3.21E+09
0.64,3.22E+09
0.65,3.22E+09
0.66,3.22E+09
0.67,3.23E+09
0.68,3.24E+09
0.69,3.25E+09
0.7,3.25E+09
0.71,3.26E+09
0.72,3.27E+09
0.73,3.27E+09
0.74,3.28E+09
0.75,3.29E+09
0.76,3.30E+09
0.77,3.30E+09
0.78,3.31E+09
0.79,3.31E+09
0.8,3.32E+09
0.81,3.32E+09
0.82,3.33E+09
0.83,3.33E+09
0.84,3.34E+09
0.85,3.34E+09
0.86,3.35E+09
0.87,3.36E+09
0.88,3.36E+09
0.89,3.37E+09
0.9,3.38E+09
0.91,3.38E+09
0.92,3.39E+09
0.93,3.39E+09
0.94,3.40E+09
0.95,3.41E+09
0.96,3.41E+09
0.97,3.42E+09
0.98,3.42E+09
0.99,3.43E+09
1,3.43E+09
